latitude,Ashgill.15X.HSL,Ashgill.8X.LSL
-90,1.0,-2.0
-89,1.1,-2.0
-88,1.3,-2.0
-87,1.4,-2.0
-86,1.5,-2.0
-85,1.7,-2.0
-84,1.8,-2.0
-83,1.9,-2.0
-82,2.1,-2.0
-81,2.2,-2.0
-80,2.3,-2.0
-79,2.5,-2.0
-78,2.6,-2.0
-77,2.7,-2.0
-76,2.9,-2.0
-75,3.0,-2.0
-74,3.3,-2.0
-73,3.5,-2.0
-72,3.8,-2.0
-71,4.1,-2.0
-70,4.3,-2.0
-69,4.6,-2.0
-68,4.9,-2.0
-67,5.1,-2.0
-66,5.2,-2.0
-65,5.3,-2.0
-64,5.5,-2.0
-63,5.6,-2.0
-62,5.7,-2.0
-61,5.9,-2.0
-60,6.0,-2.0
-59,6.3,-2.0
-58,6.5,-2.0
-57,6.8,-2.0
-56,7.1,-2.0
-55,7.3,-2.0
-54,7.6,-2.0
-53,7.9,-2.0
-52,8.2,-1.5
-51,8.6,-0.6
-50,9.0,0.3
-49,9.4,1.3
-48,9.8,2.2
-47,10.2,3.1
-46,10.6,4.1
-45,11.0,5.0
-44,11.3,5.3
-43,11.5,5.5
-42,11.8,5.8
-41,12.1,6.1
-40,12.3,6.3
-39,12.6,6.6
-38,12.9,6.9
-37,13.7,7.8
-36,15.0,9.4
-35,16.3,11.0
-34,17.7,12.6
-33,19.0,14.2
-32,20.3,15.8
-31,21.7,17.4
-30,23.0,19.0
-29,23.5,19.7
-28,24.1,20.3
-27,24.6,21.0
-26,25.1,21.7
-25,25.7,22.3
-24,26.2,23.0
-23,26.7,23.7
-22,27.1,24.2
-21,27.4,24.6
-20,27.7,25.0
-19,27.9,25.4
-18,28.2,25.8
-17,28.5,26.2
-16,28.7,26.6
-15,29.0,27.0
-14,29.3,26.9
-13,29.5,26.7
-12,29.8,26.6
-11,30.1,26.5
-10,30.3,26.3
-9,30.6,26.2
-8,30.9,26.1
-7,30.7,25.9
-6,30.2,25.8
-5,29.7,25.7
-4,29.1,25.5
-3,28.6,25.4
-2,28.1,25.3
-1,27.5,25.1
0,27.0,25.0
1,27.5,25.1
2,28.1,25.3
3,28.6,25.4
4,29.1,25.5
5,29.7,25.7
6,30.2,25.8
7,30.7,25.9
8,30.9,26.1
9,30.6,26.2
10,30.3,26.3
11,30.1,26.5
12,29.8,26.6
13,29.5,26.7
14,29.3,26.9
15,29.0,27.0
16,28.7,26.6
17,28.5,26.2
18,28.2,25.8
19,27.9,25.4
20,27.7,25.0
21,27.4,24.6
22,27.1,24.2
23,26.7,23.7
24,26.2,23.0
25,25.7,22.3
26,25.1,21.7
27,24.6,21.0
28,24.1,20.3
29,23.5,19.7
30,23.0,19.0
31,21.7,17.4
32,20.3,15.8
33,19.0,14.2
34,17.7,12.6
35,16.3,11.0
36,15.0,9.4
37,13.7,7.8
38,12.9,6.9
39,12.6,6.6
40,12.3,6.3
41,12.1,6.1
42,11.8,5.8
43,11.5,5.5
44,11.3,5.3
45,11.0,5.0
46,10.6,4.1
47,10.2,3.1
48,9.8,2.2
49,9.4,1.3
50,9.0,0.3
51,8.6,-0.6
52,8.2,-1.5
53,7.9,-2.0
54,7.6,-2.0
55,7.3,-2.0
56,7.1,-2.0
57,6.8,-2.0
58,6.5,-2.0
59,6.3,-2.0
60,6.0,-2.0
61,5.9,-2.0
62,5.7,-2.0
63,5.6,-2.0
64,5.5,-2.0
65,5.3,-2.0
66,5.2,-2.0
67,5.1,-2.0
68,4.9,-2.0
69,4.6,-2.0
70,4.3,-2.0
71,4.1,-2.0
72,3.8,-2.0
73,3.5,-2.0
74,3.3,-2.0
75,3.0,-2.0
76,2.9,-2.0
77,2.7,-2.0
78,2.6,-2.0
79,2.5,-2.0
80,2.3,-2.0
81,2.2,-2.0
82,2.1,-2.0
83,1.9,-2.0
84,1.8,-2.0
85,1.7,-2.0
86,1.5,-2.0
87,1.4,-2.0
88,1.3,-2.0
89,1.1,-2.0
90,1.0,-2.0
