Occurrence_num,Palaeolongitude,Palaeolatitude,Loc. Num.,Present.region,Old.Class,Order,Family,Genus,Operative_Genus,Operative_Genus.Subgenus,Genus.Subgenus_modifier,Genus_Modified,Modified_Genus,Species,Operative_Species,Genus.Species,British Stage,Appearance,Appearance_FAD,Appearance_LAD,FAD_interval,LAD_interval,Genus BA range,Depth.resolved,max_depth,min_depth,mean_depth,Community,Formation,Depth Association,lithology,Source,Read_more,Genus_FAD_interval,Genus_LAD_interval,interval_resolved,GRID_COORD,FAD_Coarse_Interval,LAD_Coarse_Interval,Cratonic,Palaeocontinent/Terrane,Continent_max_Northing,Continent_min_Northing,Merged.Terrains,Max.Palaeolongitude.Merged.450,Min.Palaeolatitude.Merged.450,Loc_ID
684,93.854,11.802,44,"New South Wales C (S Molong Volcanic Belt, East side)",Articulata,Orthida,Septatrypidae,Webbyspira ,Webbyspira,Webbyspira,,0,Webbyspira,principalis,principalis,Webbyspira_principalis,Caradoc,Caradoc U,Caradoc U,Caradoc U,3,3,BA 1-5,1,5,1,3,,"Fossil Hill Limestone (Gleesons, Kalimna, & Wyoming Limestone Members), Cliefden Caves Limestone Sub-group ",BA 1-2,"carbonate-dominated margin flanking eroded volcanic island, BA 1-2","Percival 1991, 1995",,1,3,1,95_10,3,3,0,Gondwana,87,3,Greater_Gondwana,35,-90,93.9_11.8
4443,98.598,12.145,44,New South Wales C,Articulata,Orthida,Hesperomenidae,Anoptambonites,Anoptambonites,Anoptambonites,,0,Anoptambonites,sp. nov.,sp.,Anoptambonites_sp.,Ashgill,"Pusgillian (early Bolindian, Bo1)",Pusgillian U,Cautleyan E,6,7,BA 3-5,1,5,3,4,,"Malongulli Formation, uppermost ",BA 4-5,limestone breccia immediately below shales with Climacograptus uncinatus  ,Percival unpublished,,1,12,1,100_10,4,5,0,Gondwana,87,3,Greater_Gondwana,35,-90,98.6_12.1
5508,98.598,12.145,44,New South Wales C,Articulata,Strophomenida,Bimuriidae,Bimuria (Cooperea) ,Bimuria,Cooperea,,0,Bimuria,sp. nov.,sp.,Cooperea_sp.,Ashgill,"Pusgillian (early Bolindian, Bo1)",Pusgillian U,Cautleyan E,6,7,BA 4-5,1,5,4,4.5,,"Malongulli Formation, uppermost ",BA 4-5,limestone breccia immediately below shales with Climacograptus uncinatus  ,Percival unpublished,Percival 2005,1,14,1,100_10,4,5,0,Gondwana,87,3,Greater_Gondwana,35,-90,98.6_12.1
6008,98.598,12.145,44,New South Wales C,Articulata,Strophomenida,Christianiidae,Christiania ,Christiania,Christiania,,0,Christiania,sp. nov.,sp.,Christiania_sp.,Ashgill,"Pusgillian (early Bolindian, Bo1)",Pusgillian U,Cautleyan E,6,7,BA 4-6,1,6,4,5,,"Malongulli Formation, uppermost ",BA 4-5,limestone breccia immediately below shales with Climacograptus uncinatus  ,Percival unpublished,Percival 2005,1,12,1,100_10,4,5,0,Gondwana,87,3,Greater_Gondwana,35,-90,98.6_12.1
4463,98.598,12.145,44,New South Wales C,Articulata,Orthida,Hesperorthidae,Ptychopleurella,Ptychopleurella,Ptychopleurella,,0,Ptychopleurella,sp. nov.,sp.,Ptychopleurella_sp.,Ashgill,"Pusgillian (early Bolindian, Bo1)",Pusgillian U,Cautleyan E,6,7,BA 3-5,1,5,3,4,,"Malongulli Formation, uppermost ",BA 4-5,limestone breccia immediately below shales with Climacograptus uncinatus  ,Percival unpublished,,1,18,1,100_10,4,5,0,Gondwana,87,3,Greater_Gondwana,35,-90,98.6_12.1
2293,98.598,12.145,44,New South Wales C,Articulata,Strophomenida,Xenambonitidae,Synambonites ,Synambonites,Synambonites,,0,Synambonites,sp. nov.,sp.,Synambonites_sp.,Ashgill,"Pusgillian (early Bolindian, Bo1)",Pusgillian U,Cautleyan E,6,7,BA 3-4,1,4,3,3.5,,"Malongulli Formation, uppermost ",BA 4-5,limestone breccia immediately below shales with Climacograptus uncinatus  ,Percival unpublished,,3,12,1,100_10,4,5,0,Gondwana,87,3,Greater_Gondwana,35,-90,98.6_12.1
5505,98.598,12.145,44,New South Wales C,Articulata,Strophomenida,Strophomenidae,Teretelasmella,Teretelasmella,Teretelasmella,,0,Teretelasmella,sp. nov.,sp.,Teretelasmella_sp.,Ashgill,"Pusgillian (early Bolindian, Bo1)",Pusgillian U,Cautleyan E,6,7,BA 4-5,1,5,4,4.5,,"Malongulli Formation, uppermost ",BA 4-5,limestone breccia immediately below shales with Climacograptus uncinatus  ,Percival unpublished,,6,7,1,100_10,4,5,0,Gondwana,87,3,Greater_Gondwana,35,-90,98.6_12.1
366,-73.574,-21.765,7,Anticosti Island,Articulata,Atrypida,Atrypinidae,Spirigerina(Eospirigerina),Spirigerina,Eospirigerina,,0,Spirigerina,?,sp.,Eospirigerina_sp.,Ashgill,Hirnantian (Gama.),Hirnantian E,Hirnantian M*,13,14,BA 2-3,1,3,2,2.5,Hirnantia fauna,"m Grindstone Mb, Ellis Bay Fm - lo Fox Point Mb, Becscie Fm",BA 2-3,sandst-grainst,Jin & Copper 1997,,1,23,1,-75_-20,7,7,0,Laurentia,33,0,Laurentia,18,-28,-73.6_-21.8
426,-73.088,-22.024,7,Anticosti Island,Articulata,Atrypida,Atrypinidae,Spirigerina(Eospirigerina),Spirigerina,Eospirigerina,,0,Spirigerina,?,sp.,Eospirigerina_sp.,Llandovery,Rhuddanian E,Rhuddanian E,Rhuddanian E,15,15,BA 2-3,1,3,2,2.5,Hirnantia fauna,"m Grindstone Mb, Ellis Bay Fm - lo Fox Point Mb, Becscie Fm",BA 2-3,sandst-grainst,Jin & Copper 1997,,1,23,1,-75_-20,8,8,0,Laurentia,33,0,Laurentia,18,-28,-73.1_-22
3242,-88.241,-23.447,10,"Niagara Escarpment, S Ontario",Articulata,Pentamerida,Pentameridae,Pentamerus,Pentamerus,Pentamerus,,0,Pentamerus,?,sp.,Pentamerus_sp.,Llandovery,Aeronian U,Aeronian U,Aeronian U,20,20,BA 3-4,1,4,3,3.5,,Reynales Fm,BA 3,,Jin 2002,,18,23,1,-90_-25,9,9,1,Laurentia,33,0,Laurentia,18,-28,-88.2_-23.4
